Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
AT.CAED/9008390614785.FACILITY,AT.EEA/AT0055.FACILITY
AT.CAED/9008390971345.FACILITY,AT.EEA/AT0040.FACILITY
AT.CAED/9008390975701.FACILITY,AT.EEA/AT0045.FACILITY
AT.CAED/9008391210573.FACILITY,AT.EEA/AT0064.FACILITY
AT.CAED/9008391210573.FACILITY,AT.EEA/AT0097.FACILITY
AT.CAED/9008391215646.FACILITY,AT.EEA/AT0022.FACILITY
AT.CAED/9008391215646.FACILITY,AT.EEA/AT0021.FACILITY
AT.CAED/9008391215646.FACILITY,AT.EEA/AT0020.FACILITY
AT.EEA/20000.00051.FACILITY,AT.EEA/AT0002.FACILITY
AT.EEA/20000.00052.FACILITY,AT.EEA/AT0060.FACILITY
AT.EEA/20000.00052.FACILITY,AT.EEA/AT0061.FACILITY
AT.EEA/20000.00052.FACILITY,AT.EEA/AT0059.FACILITY
AT.EEA/20000.00052.FACILITY,AT.EEA/AT0058.FACILITY
AT.EEA/20000.00052.FACILITY,AT.EEA/AT0057.FACILITY
AT.EEA/20000.00106.FACILITY,AT.EEA/AT0084.FACILITY
AT.EEA/20000.00125.FACILITY,AT.EEA/AT0067.FACILITY
AT.EEA/20000.00291.FACILITY,AT.EEA/AT0075.FACILITY
AT.EEA/20000.00533.FACILITY,AT.EEA/AT0023.FACILITY
BE.WA/113010000.FACILITY,BE.EEA/BE0015.FACILITY
BE.WA/118010000.FACILITY,BE.EEA/BE0097.FACILITY
BG.CAED/002000017.FACILITY,BG.EEA/BG0011.FACILITY
BG.CAED/012000011.FACILITY,BG.EEA/BG0004.FACILITY
BG.CAED/017000006.FACILITY,BG.EEA/BG0005.FACILITY
CZ.MZP.C311/CZ76468152.FACILITY,CZ.EEA/CZ0017.FACILITY
CZ.MZP.E532/CZ11020488.FACILITY,CZ.EEA/CZ0065.FACILITY
CZ.MZP.K411/CZ70971852.FACILITY,CZ.EEA/CZ0041.FACILITY
CZ.MZP.L512/CZ96619485.FACILITY,CZ.EEA/CZ0053.FACILITY
CZ.MZP.M714/CZ24145642.FACILITY,CZ.EEA/CZ0037.FACILITY
CZ.MZP.P323/CZ47150542.FACILITY,CZ.EEA/CZ0066.FACILITY
CZ.MZP.P323/CZ56736663.FACILITY,CZ.EEA/CZ0079.FACILITY
DE.EEA/13770.FACILITY,DE.EEA/DE5084.FACILITY
DE.EEA/14-10-47399980000.FACILITY,DE.EEA/DE0025.FACILITY
DK.CAED/000068265.FACILITY,DK.EEA/DK0065.FACILITY
DK.CAED/000068581.FACILITY,DK.EEA/DK0080.FACILITY
DK.CAED/000102915.FACILITY,DK.EEA/DK0007.FACILITY
DK.CAED/000104564.FACILITY,DK.EEA/DK0092.FACILITY
DK.CAED/000104665.FACILITY,DK.EEA/DK0282.FACILITY
DK.CAED/000106181.FACILITY,DK.EEA/DK0024.FACILITY
DK.CAED/000106201.FACILITY,DK.EEA/DK0028.FACILITY
DK.CAED/000112739.FACILITY,DK.EEA/DK0280.FACILITY
DK.CAED/000112739.FACILITY,DK.EEA/DK0283.FACILITY
DK.CAED/000112739.FACILITY,DK.EEA/DK0281.FACILITY
EL.CAED/100001.FACILITY,GR.EEA/GR0048.FACILITY
EL.CAED/100001.FACILITY,GR.EEA/GR0047.FACILITY
EL.CAED/100004.FACILITY,GR.EEA/GR0034.FACILITY
EL.CAED/100004.FACILITY,GR.EEA/GR0038.FACILITY
EL.CAED/100004.FACILITY,GR.EEA/GR0037.FACILITY
EL.CAED/100017.FACILITY,GR.EEA/GR0026.FACILITY
EL.CAED/100017.FACILITY,GR.EEA/GR0025.FACILITY
EL.CAED/100035.FACILITY,GR.EEA/GR0030.FACILITY
EL.CAED/100035.FACILITY,GR.EEA/GR0029.FACILITY
EL.CAED/100035.FACILITY,GR.EEA/GR0032.FACILITY
EL.CAED/100035.FACILITY,GR.EEA/GR0031.FACILITY
EL.CAED/100048.FACILITY,GR.EEA/GR0001.FACILITY
ES.CAED/000534000.FACILITY,ES.EEA/ES0440.FACILITY
ES.CAED/000534000.FACILITY,ES.EEA/ES0439.FACILITY
ES.CAED/001081000.FACILITY,ES.EEA/ES0014.FACILITY
ES.CAED/001479000.FACILITY,ES.EEA/ES0015.FACILITY
ES.CAED/001479000.FACILITY,ES.EEA/ES0018.FACILITY
ES.CAED/001507000.FACILITY,ES.EEA/ES0027.FACILITY
ES.CAED/001507000.FACILITY,ES.EEA/ES0028.FACILITY
ES.CAED/001527000.FACILITY,ES.EEA/ES0039.FACILITY
ES.CAED/001528000.FACILITY,ES.EEA/ES0042.FACILITY
ES.CAED/001528000.FACILITY,ES.EEA/ES0045.FACILITY
ES.CAED/001528000.FACILITY,ES.EEA/ES0044.FACILITY
ES.CAED/001528000.FACILITY,ES.EEA/ES0041.FACILITY
ES.CAED/001984000.FACILITY,ES.EEA/ES0068.FACILITY
ES.CAED/002112000.FACILITY,ES.EEA/ES0086.FACILITY
ES.CAED/002112000.FACILITY,ES.EEA/ES0221.FACILITY
ES.CAED/002117000.FACILITY,ES.EEA/ES0089.FACILITY
ES.CAED/002468000.FACILITY,ES.EEA/ES0157.FACILITY
ES.CAED/002468000.FACILITY,ES.EEA/ES0418.FACILITY
ES.CAED/002468000.FACILITY,ES.EEA/ES0213.FACILITY
ES.CAED/002927000.FACILITY,ES.EEA/ES0097.FACILITY
ES.CAED/003067000.FACILITY,ES.EEA/ES0101.FACILITY
ES.CAED/003453000.FACILITY,ES.EEA/ES0104.FACILITY
ES.CAED/003518000.FACILITY,ES.EEA/ES0108.FACILITY
ES.CAED/003518000.FACILITY,ES.EEA/ES0107.FACILITY
ES.CAED/003520000.FACILITY,ES.EEA/ES0111.FACILITY
ES.CAED/003587000.FACILITY,ES.EEA/ES0125.FACILITY
ES.CAED/003587000.FACILITY,ES.EEA/ES0126.FACILITY
ES.CAED/003588000.FACILITY,ES.EEA/ES0131.FACILITY
ES.CAED/003589000.FACILITY,ES.EEA/ES0133.FACILITY
ES.CAED/003589000.FACILITY,ES.EEA/ES0134.FACILITY
ES.CAED/003743000.FACILITY,ES.EEA/ES0141.FACILITY
ES.CAED/003743000.FACILITY,ES.EEA/ES0142.FACILITY
ES.CAED/004848000.FACILITY,ES.EEA/ES0215.FACILITY
ES.CAED/004848000.FACILITY,ES.EEA/ES0214.FACILITY
ES.CAED/007198000.FACILITY,ES.EEA/ES0059.FACILITY
ES.CAED/007198000.FACILITY,ES.EEA/ES0058.FACILITY
ES.CAED/008330000.FACILITY,ES.EEA/ES0211.FACILITY
ES.CAED/008330000.FACILITY,ES.EEA/ES0155.FACILITY
ES.CAED/008330000.FACILITY,ES.EEA/ES0212.FACILITY
ES.CAED/008330000.FACILITY,ES.EEA/ES0021.FACILITY
ES.CAED/008402000.FACILITY,ES.EEA/ES0156.FACILITY
ES.CAED/009361000.FACILITY,ES.EEA/ES0022.FACILITY
ES.EEA/2116.FACILITY,ES.EEA/ES0088.FACILITY
ES.EEA/3744.FACILITY,ES.EEA/ES0144.FACILITY
FR.CAED/10554.FACILITY,FR.EEA/FR460.FACILITY
FR.CAED/3861.FACILITY,FR.EEA/FR0049.FACILITY
FR.CAED/6744.FACILITY,FR.EEA/FR0433.FACILITY
FR.CAED/771.FACILITY,FR.EEA/FR0270.FACILITY
FR.CAED/8995.FACILITY,FR.EEA/FR0165.FACILITY
FR.EEA/056.00328.FACILITY,FR.EEA/FR0031.FACILITY
FR.EEA/059.06226.FACILITY,FR.EEA/FR0392.FACILITY
FR.EEA/065.03162.FACILITY,FR.EEA/FR0441.FACILITY
FR.EEA/070.00588.FACILITY,FR.EEA/FR0185.FACILITY
GB.EEA/EW_EA-672.FACILITY,GB.EEA/UK0178.FACILITY
GR.EEA/EL5801162.FACILITY,GR.EEA/GR0046.FACILITY
GR.EEA/EL5801162.FACILITY,GR.EEA/GR0053.FACILITY
GR.EEA/EL5801162.FACILITY,GR.EEA/GR0052.FACILITY
GR.EEA/EL5801162.FACILITY,GR.EEA/GR0054.FACILITY
GR.EEA/ELA400939.FACILITY,GR.EEA/GR0024.FACILITY
HU.OKIR/100372804.FACILITY,HU.EEA/HU0165.FACILITY
HU.OKIR/100372804.FACILITY,HU.EEA/HU0164.FACILITY
HU.OKIR/100372804.FACILITY,HU.EEA/HU0163.FACILITY
HU.OKIR/100372804.FACILITY,HU.EEA/HU0019.FACILITY
IT.CAED/001441001.FACILITY,IT.EEA/IT0019.FACILITY
IT.CAED/001542001.FACILITY,IT.EEA/IT0760.FACILITY
IT.CAED/030392001.FACILITY,IT.EEA/IT0775.FACILITY
IT.CAED/090103225.FACILITY,IT.EEA/IT0183.FACILITY
IT.CAED/090103225.FACILITY,IT.EEA/IT0184.FACILITY
IT.CAED/161592001.FACILITY,IT.EEA/IT0286.FACILITY
IT.CAED/170471001.FACILITY,IT.EEA/IT0392.FACILITY
IT.CAED/170471001.FACILITY,IT.EEA/IT0393.FACILITY
IT.CAED/191361001.FACILITY,IT.EEA/IT0125.FACILITY
IT.CAED/191361001.FACILITY,IT.EEA/IT0124.FACILITY
IT.CAED/260202003.FACILITY,IT.EEA/IT0768.FACILITY
IT.CAED/670512001.FACILITY,IT.EEA/IT0045.FACILITY
IT.CAED/870681001.FACILITY,IT.EEA/IT0163.FACILITY
IT.EEA/2007000857.FACILITY,IT.EEA/IT0122.FACILITY
IT.EEA/2007001041.FACILITY,IT.EEA/IT0237.FACILITY
IT.EEA/2007001732.FACILITY,IT.EEA/IT0178.FACILITY
IT.EEA/2007001732.FACILITY,IT.EEA/IT0177.FACILITY
IT.EEA/2007001732.FACILITY,IT.EEA/IT0176.FACILITY
IT.EEA/2008000122.FACILITY,IT.EEA/IT0435.FACILITY
IT.EEA/2008000122.FACILITY,IT.EEA/IT0432.FACILITY
IT.EEA/2008000122.FACILITY,IT.EEA/IT0433.FACILITY
IT.EEA/2008000122.FACILITY,IT.EEA/IT0434.FACILITY
LT.CAED/110818317.FACILITY2,LT.EEA/LT0123.FACILITY
LT.CAED/110818317.FACILITY2,LT.EEA/LT0025.FACILITY
LT.CAED/110818317.FACILITY2,LT.EEA/LT0022.FACILITY
LT.CAED/111760831.FACILITY1,LT.EEA/LT0124.FACILITY
LT.CAED/147248313.FACILITY3,LT.EEA/LT0009.FACILITY
LT.CAED/166451720.FACILITY,LT.EEA/LT0032.FACILITY
LT.CAED/166451720.FACILITY,LT.EEA/LT0126.FACILITY
LT.CAED/166451720.FACILITY,LT.EEA/LT0033.FACILITY
LT.EEA/000000003.FACILITY,LT.EEA/LT0125.FACILITY
LT.EEA/000000174.FACILITY,LT.EEA/LT0027.FACILITY
LU.EEA/LU-14.FACILITY,LU.EEA/LU0001.FACILITY
LV.LVGMC.PRTR/310005.Facility,LV.EEA/LV0018.FACILITY
MT.ERA/000000017.FACILITY,MT.EEA/MT0011.FACILITY
NL.RIVM/000022617.FACILITY,NL.EEA/NL0456.FACILITY
NL.RIVM/000056119.FACILITY,NL.EEA/NL0488.FACILITY
NL.RIVM/000102621.FACILITY,NL.EEA/NL0010.FACILITY
PL.EEA/07W002745.FACILITY,PL.EEA/PL0426.FACILITY
PL.EEA/07W002745.FACILITY,PL.EEA/PL0349.FACILITY
PL.MŚ/000000035.FACILITY,PL.EEA/PL0258.FACILITY
PL.MŚ/000000105.FACILITY,PL.EEA/PL0279.FACILITY
PL.MŚ/000000268.FACILITY,PL.EEA/PL0009.FACILITY
PL.MŚ/000000425.FACILITY,PL.EEA/PL0361.FACILITY
PL.MŚ/000000663.FACILITY,PL.EEA/PL0394.FACILITY
PL.MŚ/000000834.FACILITY,PL.EEA/PL0402.FACILITY
PL.MŚ/000002779.FACILITY,PL.EEA/PL0410.FACILITY
PL.MŚ/000003645.FACILITY,PL.EEA/PL0315.FACILITY
RO.CAED/101AR0001.FACILITY,RO.EEA/RO0002.FACILITY
RO.CAED/101BT0001.FACILITY,RO.EEA/RO0106.FACILITY
RO.CAED/101CT0001.FACILITY,RO.EEA/RO0075.FACILITY
RO.CAED/101CT0001.FACILITY,RO.EEA/RO0073.FACILITY
RO.CAED/101GJ0001.FACILITY,RO.EEA/RO0100.FACILITY
RO.CAED/101GJ0001.FACILITY,RO.EEA/RO0103.FACILITY
RO.CAED/101GL0001.FACILITY,RO.EEA/RO0065.FACILITY
RO.CAED/101MS0001.FACILITY,RO.EEA/RO0069.FACILITY
RO.CAED/101MS0001.FACILITY,RO.EEA/RO0070.FACILITY
RO.CAED/101TR0001.FACILITY,RO.EEA/RO0170.FACILITY
RO.CAED/101VN0001.FACILITY,RO.EEA/RO0166.FACILITY
RO.CAED/101VN0001.FACILITY,RO.EEA/RO0164.FACILITY
RO.CAED/101VN0001.FACILITY,RO.EEA/RO0167.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0035.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0044.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0037.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0038.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0039.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0043.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0045.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0042.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0041.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0040.FACILITY
RO.CAED/102BB0001.FACILITY,RO.EEA/RO0036.FACILITY
RO.CAED/102BC0001.FACILITY,RO.EEA/RO0004.FACILITY
RO.CAED/102CT0001.FACILITY,RO.EEA/RO0056.FACILITY
RO.CAED/102CT0001.FACILITY,RO.EEA/RO0058.FACILITY
RO.CAED/102DJ0001.FACILITY,RO.EEA/RO0062.FACILITY
RO.CAED/102DJ0001.FACILITY,RO.EEA/RO0061.FACILITY
RO.CAED/102HD0001.FACILITY,RO.EEA/RO0104.FACILITY
RO.CAED/102TR0002.FACILITY,RO.EEA/RO0126.FACILITY
RO.CAED/102TR0002.FACILITY,RO.EEA/RO0127.FACILITY
RO.CAED/103BB0001.FACILITY,RO.EEA/RO0015.FACILITY
RO.CAED/103BB0001.FACILITY,RO.EEA/RO0012.FACILITY
RO.CAED/103BB0001.FACILITY,RO.EEA/RO0013.FACILITY
RO.CAED/103BB0001.FACILITY,RO.EEA/RO0014.FACILITY
RO.CAED/103BB0001.FACILITY,RO.EEA/RO0016.FACILITY
RO.CAED/104BB0001.FACILITY,RO.EEA/RO0024.FACILITY
RO.CAED/104BB0001.FACILITY,RO.EEA/RO0022.FACILITY
RO.CAED/104BB0001.FACILITY,RO.EEA/RO0025.FACILITY
RO.CAED/104BB0001.FACILITY,RO.EEA/RO0023.FACILITY
RO.CAED/104BB0001.FACILITY,RO.EEA/RO0021.FACILITY
RO.CAED/104BB0001.FACILITY,RO.EEA/RO0020.FACILITY
RO.CAED/121VS0001.FACILITY,RO.EEA/RO0139.FACILITY
RO.CAED/126AR0001.FACILITY,RO.EEA/RO0117.FACILITY
RO.CAED/126AR0001.FACILITY,RO.EEA/RO0119.FACILITY
RO.CAED/126AR0001.FACILITY,RO.EEA/RO0114.FACILITY
RO.CAED/126AR0001.FACILITY,RO.EEA/RO0118.FACILITY
RO.CAED/127DB0001.FACILITY,RO.EEA/RO0108.FACILITY
RO.CAED/130BC0001.FACILITY,RO.EEA/RO0148.FACILITY
RO.EEA/RO1BC_14.FACILITY,RO.EEA/RO0147.FACILITY
RO.EEA/RO1BT_11.FACILITY,RO.EEA/RO0172.FACILITY
RO.EEA/RO1BT_11.FACILITY,RO.EEA/RO0171.FACILITY
RO.EEA/RO1IS_11.FACILITY,RO.EEA/RO0130.FACILITY
RO.EEA/RO1SV_11.FACILITY,RO.EEA/RO0156.FACILITY
RO.EEA/RO1SV_11.FACILITY,RO.EEA/RO0157.FACILITY
RO.EEA/RO1SV_11.FACILITY,RO.EEA/RO0096.FACILITY
RO.EEA/RO1SV_11.FACILITY,RO.EEA/RO0158.FACILITY
RO.EEA/RO2BR_11.FACILITY,RO.EEA/RO0134.FACILITY
RO.EEA/RO2BR_11.FACILITY,RO.EEA/RO0133.FACILITY
RO.EEA/RO2BR_11.FACILITY,RO.EEA/RO0132.FACILITY
RO.EEA/RO2BR_11.FACILITY,RO.EEA/RO0137.FACILITY
RO.EEA/RO2BR_11.FACILITY,RO.EEA/RO0136.FACILITY
RO.EEA/RO2BR_11.FACILITY,RO.EEA/RO0135.FACILITY
RO.EEA/RO2BR_12.FACILITY,RO.EEA/RO0174.FACILITY
RO.EEA/RO3AG_11.FACILITY,RO.EEA/RO0081.FACILITY
RO.EEA/RO3AG_11.FACILITY,RO.EEA/RO0080.FACILITY
RO.EEA/RO3AG_12.FACILITY,RO.EEA/RO0146.FACILITY
RO.EEA/RO3AG_12.FACILITY,RO.EEA/RO0145.FACILITY
RO.EEA/RO3AG_13.FACILITY,RO.EEA/RO0143.FACILITY
RO.EEA/RO3AG_13.FACILITY,RO.EEA/RO0144.FACILITY
RO.EEA/RO3AG_13.FACILITY,RO.EEA/RO0142.FACILITY
RO.EEA/RO3AG_13.FACILITY,RO.EEA/RO0140.FACILITY
RO.EEA/RO3AG_13.FACILITY,RO.EEA/RO0141.FACILITY
RO.EEA/RO3DB_19.FACILITY,RO.EEA/RO0064.FACILITY
RO.EEA/RO3GR_11.FACILITY,RO.EEA/RO0149.FACILITY
RO.EEA/RO3GR_11.FACILITY,RO.EEA/RO0150.FACILITY
RO.EEA/RO3PH_12.FACILITY,RO.EEA/RO0082.FACILITY
RO.EEA/RO3PH_124.FACILITY,RO.EEA/RO0123.FACILITY
RO.EEA/RO4MH_12.FACILITY,RO.EEA/RO0093.FACILITY
RO.EEA/RO4MH_12.FACILITY,RO.EEA/RO0221.FACILITY
RO.EEA/RO4MH_12.FACILITY,RO.EEA/RO0092.FACILITY
RO.EEA/RO4MH_12.FACILITY,RO.EEA/RO0091.FACILITY
RO.EEA/RO5CS_108.FACILITY,RO.EEA/RO0112.FACILITY
RO.EEA/RO5CS_108.FACILITY,RO.EEA/RO0113.FACILITY
RO.EEA/RO5CS_108.FACILITY,RO.EEA/RO0111.FACILITY
RO.EEA/RO5CS_108.FACILITY,RO.EEA/RO0110.FACILITY
RO.EEA/RO6SJ_11.FACILITY,RO.EEA/RO0176.FACILITY
RO.EEA/RO6SJ_11.FACILITY,RO.EEA/RO0175.FACILITY
RO.EEA/RO7BV_16.FACILITY,RO.EEA/RO0160.FACILITY
RO.EEA/RO8B_15.FACILITY,RO.EEA/RO0162.FACILITY
RO.EEA/RO8B_15.FACILITY,RO.EEA/RO0163.FACILITY
UK.CAED/EW_EA-10174.FACILITY,GB.EEA/UK0359.FACILITY
UK.CAED/EW_EA-1561.FACILITY,GB.EEA/UK0308.FACILITY
UK.CAED/EW_EA-16627.FACILITY,GB.EEA/UK0197.FACILITY
UK.CAED/EW_EA-5345.FACILITY,GB.EEA/UK0316.FACILITY
UK.CAED/EW_EA-5702.FACILITY,GB.EEA/UK0054.FACILITY
UK.CAED/EW_EA-5702.FACILITY,GB.EEA/UK0052.FACILITY
UK.CAED/EW_EA-5702.FACILITY,GB.EEA/UK0053.FACILITY
UK.SEPA/200000034.Facility,GB.EEA/UK0213.FACILITY
UK.SEPA/200000037.Facility,GB.EEA/UK0365.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001119.ProductionFacility,FI.EEA/FI0019.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001177.ProductionFacility,FI.EEA/FI0412.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001177.ProductionFacility,FI.EEA/FI0411.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001600.ProductionFacility,FI.EEA/FI0058.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,FI.EEA/FI0127.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,FI.EEA/FI0199.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002300.ProductionFacility,FI.EEA/FI0053.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000003492.ProductionFacility,FI.EEA/FI0416.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016028.ProductionFacility,FI.EEA/FI0047.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000018120.ProductionFacility,FI.EEA/FI0109.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100178732.ProductionFacility,FI.EEA/FI0051.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100180527.ProductionFacility,FI.EEA/FI0084.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100183092.ProductionFacility,FI.EEA/FI0090.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100183092.ProductionFacility,FI.EEA/FI0091.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100184511.ProductionFacility,FI.EEA/FI0114.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100203967.ProductionFacility,FI.EEA/FI0195.FACILITY
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100211305.ProductionFacility,FI.EEA/FI0365.FACILITY
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47056307.NRZ.FACILITY,SK.EEA/SK0035.FACILITY
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK77062508.NRZ.FACILITY,SK.EEA/SK0028.FACILITY
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK77062508.NRZ.FACILITY,SK.EEA/SK0026.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0025.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0024.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0023.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000311.FACILITY,BE.EEA/BE0022.FACILITY
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000876.FACILITY,BE.EEA/BE0038.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/16019119,DE.EEA/DE0079.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/16019119,DE.EEA/DE0102.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23022811,DE.EEA/DE0183.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23023645,DE.EEA/DE0457.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23023645,DE.EEA/DE0570.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026985,DE.EEA/DE0005.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026985,DE.EEA/DE0509.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45028227,DE.EEA/DE0338.FACILITY
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45043366,DE.EEA/DE0811.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1371304-00000000,DE.EEA/DE0367.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1383701-00000000,DE.EEA/DE0152.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-1383701-00000000,DE.EEA/DE0003.FACILITY
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-2264692-00000000,DE.EEA/DE0330.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000102,DE.EEA/DE0364.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000380,DE.EEA/DE0113.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20006472,DE.EEA/DE0804.FACILITY
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/680031099,DE.EEA/DE0184.FACILITY
https://registry.gdi-de.org/id/de.hh/pf.bube-eureg_/3277,DE.EEA/DE0240.FACILITY
https://registry.gdi-de.org/id/de.hh/pf.bube-eureg_/3340,DE.EEA/DE0233.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/06060117340,DE.EEA/DE0609.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/10257673950,DE.EEA/DE1053.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/10257673950,DE.EEA/DE1052.FACILITY
https://registry.gdi-de.org/id/de.ni.mu/10257673950,DE.EEA/DE1054.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-314000-300-0056832,DE.EEA/DE0073.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-315000-300-0923949,DE.EEA/DE0590.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-366044-300-0079450,DE.EEA/DE5005.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-915000-900-0079017,DE.EEA/DE0245.FACILITY
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/60015149,DE.EEA/DE0193.FACILITY
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/60015248,DE.EEA/DE0206.FACILITY
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/80011256,DE.EEA/DE0009.FACILITY
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100609,DE.EEA/DE0021.FACILITY
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100850,DE.EEA/DE0061.FACILITY
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/30012746,DE.EEA/DE0506.FACILITY
